Address,Area,Room,Parking,Warehouse,Elevator,Price,Price(USD),numerical_Address
0,0,Shahran,63,1,1,1,1,1850000000,61666,63
1,1,Shahran,60,1,1,1,1,1850000000,61666,63
2,2,Pardis,79,2,1,1,1,550000000,18333,46
3,3,Shahrake Qods,95,2,1,1,1,902500000,30083,62
4,4,Shahrake Gharb,123,2,1,1,1,7000000000,233333,61
5,5,North Program Organization,70,2,1,1,0,2050000000,68333,38
6,6,Pardis,87,2,1,1,1,600000000,20000,46
7,7,Shahran,59,1,1,1,1,2150000000,71666,63
8,8,Andisheh,54,2,1,1,0,493000000,16433,4
9,9,West Ferdows Boulevard,71,1,1,1,1,2370000000,79000,70
10,10,West Ferdows Boulevard,68,2,1,1,1,2450000000,81666,70
11,11,Narmak,64,1,1,1,1,2100000000,70000,36
12,12,Narmak,54,1,0,1,1,1690000000,56333,36
13,13,Saadat Abad,136,3,1,1,1,11000000000,366666,57
14,14,Zafar,95,2,1,1,1,5000000000,166666,73
15,15,Islamshahr,63,1,0,1,0,570000000,19000,26
16,16,Narmak,155,3,1,1,1,6700000000,223333,36
17,17,Pirouzi,64,2,0,1,0,1450000000,48333,49
18,18,West Ferdows Boulevard,140,3,1,1,1,6400000000,213333,70
19,19,Pirouzi,42,1,0,1,0,1390000000,46333,49
20,20,Shahrake Gharb,93,2,1,1,1,7000000000,233333,61
21,21,Shahran,65,1,1,1,1,1880000000,62666,63
22,22,Saadat Abad,105,2,1,1,1,7150000000,238333,57
23,23,Velenjak,160,3,1,1,1,14945000000,498166,69
24,24,Amirieh,77,2,1,1,1,1771000000,59033,3
25,25,Pirouzi,123,2,1,1,1,4059000000,135300,49
26,26,Southern Janatabad,110,2,1,1,1,630000000,21000,66
27,27,West Ferdows Boulevard,100,2,1,1,1,3200000000,106666,70
28,28,Salsabil,90,2,0,1,0,1500000000,50000,58
29,29,West Ferdows Boulevard,49,1,1,1,1,2200000000,73333,70
30,30,Feiz Garden,67,2,1,1,0,2350000000,78333,19
31,31,West Ferdows Boulevard,68,2,1,1,1,2500000000,83333,70
32,32,West Ferdows Boulevard,55,1,1,1,1,2150000000,71666,70
33,33,West Ferdows Boulevard,110,2,1,1,1,3750000000,125000,70
34,34,West Ferdows Boulevard,129,2,1,1,1,5250000000,175000,70
35,35,West Ferdows Boulevard,109,2,1,1,1,4830000000,161000,70
36,36,Shahrake Qods,150,2,0,1,1,1200000000,40000,62
37,37,Gisha,88,2,1,1,1,4750000000,158333,22
38,38,Gisha,51,1,1,1,1,2980000000,99333,22
39,39,Shahrake Gharb,113,3,1,1,0,7000000000,233333,61
40,40,Ray,110,2,1,1,1,2035000000,67833,55
41,41,Pardis,98,2,1,1,1,540000000,18000,46
42,42,Ostad Moein,62,2,0,0,1,1450000000,48333,42
43,43,Farmanieh,150,3,1,1,1,10000000000,333333,18
44,44,Parand,75,2,0,0,0,635000000,21166,45
45,45,Punak,61,1,1,1,0,2030000000,67666,50
46,46,Punak,61,1,1,1,0,2030000000,67666,50
47,47,Shahran,72,2,1,1,1,2350000000,78333,63
48,48,Qasr-od-Dasht,100,2,1,1,1,3000000000,100000,52
49,49,Aqdasieh,122,3,1,1,1,7200000000,240000,5
